[2026-03-07 11:50:21 UTC] ADDED requests/Fri, 6 Mar--19cc4ce2/attachments/Beit Shemesh Emergency Appeal–Ezrat Achim 2026.pdf -> b6ce9b95-8472-4139-9c79-d3f70a698ef4
[2026-03-07 11:50:23 UTC] ADDED requests/Fri, 6 Mar--19cc4ce2/attachments/Expanding Our Capacity to Heal Israel’s Frontline Caregivers.pdf -> d46c2e44-49ee-4c11-9104-20a50597e086
[2026-03-07 11:50:25 UTC] ADDED requests/Fri, 6 Mar--19cc4ce2/attachments/HRCC Emergency Preparedness ShaagatHaAri.docx.pdf -> 5a7d98e2-1b72-40e8-938d-240724acfd2f
[2026-03-07 11:50:27 UTC] ADDED requests/Fri, 6 Mar--19cc4ce2/attachments/Proposal for a Program of Support and Supervision for Social Workers (2).pdf -> 9a996a07-52ad-4edc-b207-0d7bfbb52951
[2026-03-07 11:50:30 UTC] ADDED requests/Fri, 6 Mar--19cc4ce2/attachments/מרכז אלה - הצעה לתוכנית ליווי והדרכה עבור עובדי רווחה.pdf -> ec55a4f8-6772-407b-9d67-e4954a23663b
[2026-03-07 11:50:32 UTC] ADDED requests/Fri, 6 Mar--19cc4ce2/attachments/‎⁨אלבאכור חירום  שאגת הארי מקומי⁩.pdf -> dfe3c5ec-8f17-4060-a468-59d3c459cb9e
[2026-03-07 11:50:34 UTC] ADDED requests/Fri, 6 Mar-/attachments/A Message from NATAL - Our Response to Operation Lion's Roar.pdf -> b8099c2b-5f05-4566-b214-33cfa0b94fd0
[2026-03-07 11:50:36 UTC] ADDED requests/Fri, 6 Mar-fw-19cc3a03/attachments/HRCC Emergency Preparedness ShaagatHaAri.docx.pdf -> 62c184ce-d916-453d-a5ca-8d15ae6423c0
[2026-03-07 11:50:38 UTC] ADDED requests/Fri, 6 Mar-fw-19cc4dd7/attachments/image001.png -> 9059625b-2417-4d62-8169-c912e5ba68a9
[2026-03-07 11:50:40 UTC] ADDED requests/Fri, 6 Mar-fw-19cc4dd7/attachments/image002.png -> 5d71bf98-bb86-4f9f-9deb-8c22bbb4a4c6
[2026-03-07 11:50:42 UTC] ADDED requests/Fri, 6 Mar-fw-a-short-update-from-the-ground-supporting-those-on-the-frontlines-of-care/attachments/Expanding Our Capacity to Heal Israel’s Frontline Caregivers.pdf -> 49c2119a-bda2-42c9-af27-4892bc672017
[2026-03-07 11:50:44 UTC] ADDED requests/Fri, 6 Mar-fw-a-short-update-from-the-ground-supporting-those-on-the-frontlines-of-care/attachments/בית משיב הרוח 13.01.2026 - גרסה 1.1 (2).pdf -> 5e652f7e-bc91-4582-bc18-affc29d2a9f0
[2026-03-07 11:50:46 UTC] ADDED requests/Fri, 6 Mar-fw-assaf-continues-to-stand-alongside-refugees-even-in-times-of-emergency/attachments/image.png -> af079404-8d2b-477d-a73a-87d5c48872f3
[2026-03-07 11:50:49 UTC] ADDED requests/Fri, 6 Mar-fw-assaf-continues-to-stand-alongside-refugees-even-in-times-of-emergency/attachments/image001.png -> 6a4e9fd6-07d7-4e09-a39d-e495be03e08d
[2026-03-07 11:50:51 UTC] ADDED requests/Fri, 6 Mar-fw-elem-war-update/attachments/image001.png -> 08bdac0e-979e-4573-b20b-3ff520be645b
[2026-03-07 11:50:53 UTC] ADDED requests/Fri, 6 Mar-fw-emergency-support-for-northern-kibbutzim/attachments/Emergency Support for Kibbutz Communities.pdf -> 30283801-8f3c-4c70-95b4-c0ac8a6d4ede
[2026-03-07 11:50:56 UTC] ADDED requests/Fri, 6 Mar-fw-emergency-update-women-on-the-front-lines-of-israel-s-war-with-iran/attachments/chevron-light.png -> 2e3abca4-e825-4c0c-8c3e-b1e1ab395ff6
[2026-03-07 11:50:58 UTC] ADDED requests/Fri, 6 Mar-fw-emergency-update-women-on-the-front-lines-of-israel-s-war-with-iran/attachments/shield-advisory.png -> 085e38a9-8998-48c7-bf3c-5d06efc6c39f
[2026-03-07 11:51:00 UTC] ADDED requests/Fri, 6 Mar-fw-how-are-you/attachments/Alamal LOI 2026.pdf -> 1b0035ff-ae92-4eba-b438-d8a68e5143ec
[2026-03-07 11:51:02 UTC] ADDED requests/Fri, 6 Mar-fw-operation-lion-s-roar-rambam-is-treating-700-patients-underground-we-must-pro/attachments/Lion's Roar needs.pdf -> 27c3edb4-675f-4aa0-a065-7c6b85887350
[2026-03-07 11:51:04 UTC] ADDED requests/Fri, 6 Mar-fw-tamar-field-update-one-week-into-the-escalation/attachments/March 6, Tamar Update.pdf -> f8df8067-d5d9-47e9-8cd4-c2c0a3c6e235
[2026-03-07 11:51:06 UTC] ADDED requests/Fri, 6 Mar-fw-thank-you-for-being-there/attachments/image001.png -> 4204441d-5ff5-449f-b887-18313d63c174
[2026-03-07 11:51:08 UTC] ADDED requests/Fri, 6 Mar-fw/attachments/דחוף בקשה לתרומה נגישות ישראל אפוד סגול סיוע למלחמה 28-2-2026 .pdf -> 788a13b3-66e8-4895-92ea-6fe2a8a43dc0
[2026-03-07 11:51:11 UTC] ADDED requests/Fri, 6 Mar-more-proposals/attachments/Access Israel request 28 Feb 2026.pdf -> 6c27d4b8-2bb7-4177-83fb-28f6f219eafa
[2026-03-07 11:51:13 UTC] ADDED requests/Fri, 6 Mar-more-proposals/attachments/ERAN letter from past donors in light of war with Iran.pdf -> 3f4d104b-e434-462f-b87b-9dfed83ae773
[2026-03-07 11:51:15 UTC] ADDED requests/Fri, 6 Mar-more-proposals/attachments/Mechinot Readiness for Emergency in Anticipation of an Expected Iranian Attack 26 Feb 2026 JFNA.pdf -> 88dbd85a-0292-40dd-b9a3-b5c0263f27fd
[2026-03-07 11:51:17 UTC] ADDED requests/Fri, 6 Mar-more-proposals/attachments/Niroot request for food vouchers JFNA.pdf -> 96368058-4e22-4d5a-8498-ce10766a8bbb
[2026-03-07 11:51:19 UTC] ADDED requests/Fri, 6 Mar-more-proposals/attachments/Pink Glasses Urgent Appeal JFNA.pdf -> 648442a1-4d31-4b9e-9edc-9ee807f62ff2
[2026-03-07 11:51:22 UTC] ADDED requests/Fri, 6 Mar-more-proposals/attachments/ZAKA National Emergency Preparedness & Equipment Acceleration - JFNA - February 2026.pdf -> 1b3082b5-3988-480b-85d7-e30e707150db
[2026-03-07 11:51:24 UTC] ADDED requests/Fri, 6 Mar-take-a-look-at-the-link-below/attachments/image001.png -> 66f59eae-2a89-49cc-8386-ea097f467839
[2026-03-07 11:51:26 UTC] ADDED requests/Fri, 6 Mar-the-kibbutz-movement-rehabilitation-fund.md -> 8af0eb8c-87ce-4a3c-b72a-6c82129e51cb
[2026-03-07 11:51:28 UTC] ADDED requests/Fri, 6 Mar-the-kibbutz-movement-rehabilitation-fund/Emergency Support for Kibbutz Communities.pdf -> ec2d6663-0507-4378-b0cf-6b9b2c740cb1
